news_headline,news_article,news_category
Mark Cuban's gallery for NFT display gets over 2L users in 30 days,"Billionaire Mark Cuban's 'Lazy', an online gallery for displaying non-fungible tokens (NFTs), has amassed over 2,00,000 users within a month of its launch. Users can display their NFT portfolios on the platform using a unique Ethereum wallet address. Speaking about the gallery, Cuban said earlier, ""I wanted an easy way to show my NFTs and...put them in my social bios."" ",business
IAF gets 'first-of-its-kind' light bulletproof vehicles from Ashok Leyland,"Ashok Leyland has delivered the first batch of the 'first-of-its-kind' light bulletproof vehicles to the Indian Air Force. The vehicles are an adopted version of Lockheed Martin's Common Vehicle Next Generation (CVNG) and are completely ""indigenised and developed"" in India, the company said. These vehicles can ensure that the crew is well protected in case of blasts, Ashok Leyland added.",business
Nearly 2 lakh businesses may have failed in US during pandemic: Fed,"A US central bank research showed that about 2 lakh businesses in the US may have failed during the first year of the COVID-19 pandemic. However, the toll on businesses was fewer than initially feared. Besides, it has a relatively little impact on unemployment, the report added. The US is by far the worst-hit country due to the ongoing pandemic. ",business
"Honda Cars India recalls 77,954 units over faulty fuel pumps ","Honda Cars India has recalled 77,954 units of certain models over faulty fuel pumps which could result in the engine stopping or not starting over time. The company said replacement would be carried out free of charge at Honda dealerships across India starting April 17, and that owners are being contacted individually. Impacted models include the Amaze, Jazz, and CRV. ",business
"HDFC Bank Q4 profit rises 18% to ₹8,186 crore","India's largest private bank HDFC Bank on Saturday reported a net profit of ₹8,186 crore for the March quarter, up 18.17% year-on-year. The banks' net profit stood at ₹6,927.7 crore for the same period last year. While the bank's total advances rose 14% from a year ago to ₹11.32 lakh crore, the domestic retail loans reported a 6.7% year-on-year rise.",business
DoT completes process of allocating 4G spectrum to telcos,"The Department of Telecommunications (DoT) has completed the process of allocating spectrum to telecom operators who bought airwaves for 4G wireless service in the auction held in March. Frequency assignment letters have been issued to the bidders, the Centre said in an official statement. The government earned ₹2,306.97 crore from the auction, of which Reliance Jio Infocomm paid ₹2,149.59 crore. ",business
"Rohit Sharma records most sixes by an Indian in IPL, breaks MS Dhoni's record","Mumbai Indians captain Rohit Sharma has broken the record for smashing the most number of sixes by an Indian in IPL. The 33-year-old reached 217 IPL sixes during his team's match against SunRisers Hyderabad on Saturday. He overtook Chennai Super Kings captain MS Dhoni, who has hit 216 sixes in IPL.",sports
Mirabai Chanu lifts 119 kg to break world record in clean and jerk,Indian weightlifter and former world champion Mirabai Chanu on Saturday lifted 119 kg at the Asian Championships to break the world record in clean and jerk. The 26-year-old lifted 86 kg in snatch to take the total to 205 kg and win the bronze medal. The earlier clean and jerk world record was 118 kg.,sports
Kieron Pollard slams 105-metre maximum to record IPL 2021's biggest six so far,MI all-rounder Kieron Pollard smashed the biggest six of IPL 2021 by sending SRH spinner Mujeeb Ur Rahman's delivery over a distance of 105 metres at Chennai's MA Chidambaram Stadium on Saturday. Pollard smashed a total of three sixes in his unbeaten knock of 35 off 22 deliveries. Pollard also completed 200 sixes in IPL.,sports
Makes me feel very old: MS Dhoni on playing 200th match for CSK,"Talking about playing 200 matches for CSK, captain MS Dhoni said, ""It makes me feel very old...It has been a very long journey."" He added, ""The journey started in 2008. We also played in South Africa, Dubai, and now back home. Never thought Mumbai would be our home."" CSK defeated PBKS by 6 wickets in Dhoni's 200th match for CSK.",sports
"Trent Boult loses his balance and falls while chasing the ball, video goes viral","During the fifth over of SRH's innings, MI's Trent Boult lost his balance and fell while chasing the ball following a shot by David Warner, which went for a four. Commenting on it, a commentator said, ""He just can't keep up with the treadmill."" Further, reacting to a viral video of the incident, a fan wrote, ""Me chasing my dreams.""",sports
SRH lose their 3rd match in a row as MI go on top of IPL 2021 points table,Mumbai Indians defeated SunRisers Hyderabad by 13 runs on Saturday to win their second consecutive match and go on top of the IPL 2021 points table. The defeat is SunRisers Hyderabad's third loss in a row. Leg-spinner Rahul Chahar and fast bowler Trent Boult took three wickets each for Mumbai Indians. ,sports
I think Kohli has been a great asset for Maxwell: Brett Lee,"Talking about Glenn Maxwell's performance in RCB's two matches so far, ex-Australia pacer Brett Lee said skipper Virat Kohli has been a ""great asset"" for the Australia all-rounder. ""Kohli brings Maxwell's concentration back in the play...Kohli is a good ally next to him,"" Lee stated. In the two games, Maxwell, who scored 108 runs last season, has scored 98 runs. ",sports
We haven't played smart cricket: SRH captain Warner after 3rd loss,"SRH captain David Warner feels his side hasn't been playing ""smart cricket"" in IPL 2021 so far which has led to three straight defeats for the Hyderabad franchise. Chasing 151 for win, MI bowled SRH out for 137. ""These scores are very chaseable, it's just poor batting...You just need smart cricket in the middle, we aren't doing that,"" Warner said.",sports
"Playing alongside Virat, AB, Maxwell takes the pressure off: Jamieson","RCB pacer Kyle Jamieson, who was bought for ₹15 crore and is making his IPL debut this season, has said he's not feeling the pressure due to the presence of Virat Kohli, AB de Villiers and Glenn Maxwell in team. ""It probably allows me to play my role,"" he added. Jamieson has so far picked two wickets, conceding 57 runs. ",sports
I want Padikkal to get a few Man of the Match awards: Lara,"Terming RCB opener Devdutt Padikkal ""a great talent"", ex-Windies cricketer Brian Lara has said that he wants the 20-year-old to be named Man of the Match a few times this IPL season. ""I want to see...him getting a couple of triple figures under his belt,"" Lara said. Padikkal scored 11 off 13 in his first match of the season. ",sports
Kedar Jadhav should be included in SRH’s playing XI: Irfan,"Former India pacer Irfan Pathan has suggested including all-rounder Kedar Jadhav in SRH's playing XI instead of Vijay Shankar ahead of their match against MI in Chennai. ""SRH should not forget that Kedar has experience of playing in Chennai and he knows how pitches...behave,"" Irfan explained. For the MI, ex-India cricketer suggested including leg-spinner Piyush Chawla in the team. ",sports
Very important one set batsman plays through the innings: Laxman,"SRH mentor VVS Laxman stressed on the importance of a set batsman playing through the innings deep after his side suffered their third straight defeat in IPL 2021 on Saturday. ""It is very difficult for a newcomer to get used to the surface (pitch in Chennai) straight away especially when the asking rate is climbing up,"" Laxman said. ",sports
KKR keen to bounce back but we're keen to stay on a roll: RCB coach Katich,"Having won their first two games, RCB coach Simon Katich has said that they're keen to stay on a roll against KKR. Katich, however, admitted that KKR are dangerous and the match being the season's first day game is also a challenge. ""We know that the wicket [in Chennai] has been hard work for the batsman,"" he further said.",sports
IPL 2021 is about adapting to different conditions: AB de Villiers ,"With RCB being the only team to have won their first two games in the ongoing IPL, RCB wicketkeeper-batsman AB de Villiers has said that playing matches at neutral venues has balanced out the tournament. ""No one has home games...emphasis [is] on adapting to different conditions...You play a different team on same ground, it's interesting...[but]...same for everyone,"" he added. ",sports
Conditions aren't really conducive to swing bowling in Chennai: Boult,"Mumbai Indians pacer Trent Boult has said that the conditions at MA Chidambaram Stadium in Chennai are not conducive to swing bowling. Boult added that it's part of the challenge and pacers need to find ways to pick wickets. ""We've had a couple of games here, so we're aware of the recipe we need to stick to,"" he added. ",sports
Qatar aims to host COVID-19 free FIFA World Cup: Foreign Min,"Qatar's Foreign Minister, Sheikh Mohammed bin Abdulrahman Al-Thani, said the country aims to host a ""COVID-19 free"" FIFA World Cup next year. ""Right now there are programmes under development to provide vaccination to all the attendees of the World Cup,"" he added. In February, FIFA President Gianni Infantino had said that the World Cup would be played in full stadiums. ",sports
Daniel Sams joins RCB bubble after testing negative for COVID-19,"Royal Challengers Bangalore all-rounder Daniel Sams on Saturday joined the team's bio-bubble after testing negative for the coronavirus. RCB said that the all-rounder had tested negative on his arrival at the team's hotel in Chennai, but he had tested positive for COVID-19 in second test. The Australian is the second RCB player after Devdutt Padikkal to recover from coronavirus.",sports
Bumrah is one of the best bowlers in death overs: Boult,"Mumbai Indians pacer Trent Boult called fellow pacer Jasprit Bumrah ""one of the best bowlers in the death overs"" after their 13-run win over SunRisers Hyderabad on Saturday in IPL 2021. ""He makes my job a lot easier,"" said Boult. Bumrah conceded only 14 runs in his four overs and dismissed Vijay Shankar when SRH required 17 off seven balls.",sports
"I couldn't care less, not interested at all: Mourinho on Pogba's criticism ","Tottenham manager Jose Mourinho has said that he ""couldn't care less"" about Manchester United midfielder Paul Pogba's criticism of his management skills. Pogba had said he sees the current United manager Ole Gunnar Solskjaer as a different type of manager because he doesn't ""go against the players"". Mourinho was United manager for two and a half years between 2016-2018. ",sports
"CSK's Ngidi completes mandatory quarantine, begins training for IPL","Chennai Super Kings fast bowler Lungi Ngidi completed his mandatory seven-day quarantine and began training for the ongoing IPL. “And I’m out,” wrote Ngidi in his Instagram Story. The South African pacer, who had picked nine wickets in four games in IPL 2020, has joined CSK teammates. CSK are currently third with two points from two games. ",sports
